Provinsi,id,Tahun,PDRB,Investasi
Aceh,1,2013,121331.1296,181.2
Aceh,1,2014,127897.0698,80.1
Aceh,1,2015,129092.659,99.2
Aceh,1,2016,136843.818,245.5
Aceh,1,2017,145806.9225,112.2
Aceh,1,2018,155910.98,162.2
Aceh,1,2019,164162.9782,257.5
Aceh,1,2020,166372.32,193.1
Aceh,1,2021,184978.75,292.3
Aceh,1,2022,211750.02,216.6
Sumatera Utara,2,2013,469464.0155,1234.5
Sumatera Utara,2,2014,521954.9518,799.8
Sumatera Utara,2,2015,571722.0088,1684.1
Sumatera Utara,2,2016,626062.9074,1702.7
Sumatera Utara,2,2017,684634.4266,2078.9
Sumatera Utara,2,2018,741347.43,1718.6
Sumatera Utara,2,2019,799608.95,1184.5
Sumatera Utara,2,2020,811188.31,2439.8
Sumatera Utara,2,2021,859934.26,1270.4
Sumatera Utara,2,2022,955193.09,2081.1
Sumatera Barat,3,2013,146899.8299,185.4
Sumatera Barat,3,2014,164944.2568,184.1
Sumatera Barat,3,2015,179951.9803,184.1
Sumatera Barat,3,2016,196099.1766,277.3
Sumatera Barat,3,2017,213893.4682,340.4
Sumatera Barat,3,2018,230367.22,317.8
Sumatera Barat,3,2019,245949.74,402.1
Sumatera Barat,3,2020,241894.13,466.6
Sumatera Barat,3,2021,253101.28,241
Sumatera Barat,3,2022,285378.64,292.6
Riau,4,2013,607498.4498,1472.9
Riau,4,2014,679395.8596,1498.5
Riau,4,2015,652761.6309,896.4
Riau,4,2016,681699.0303,1263.1
Riau,4,2017,704705.0269,1346.1
Riau,4,2018,752263.07,1284.9
Riau,4,2019,760247.51,1450
Riau,4,2020,727599.47,1901
Riau,4,2021,839010.13,2252.4
Riau,4,2022,991589.59,3066.7
Jambi,5,2013,129976.0405,95.3
Jambi,5,2014,144814.4183,93.4
Jambi,5,2015,155065.656,211.7
Jambi,5,2016,171199.4681,222
Jambi,5,2017,189787.7223,179.8
Jambi,5,2018,207878.69,204.9
Jambi,5,2019,216927.71,237.6
Jambi,5,2020,205081.99,318
Jambi,5,2021,232064.12,181.9
Jambi,5,2022,276316.37,198.2
Sumatera Selatan,6,2013,280348.4641,627.9
Sumatera Selatan,6,2014,306421.6013,1170.5
Sumatera Selatan,6,2015,331765.7017,780.8
Sumatera Selatan,6,2016,353866.9646,3044.5
Sumatera Selatan,6,2017,382885.7013,1443.9
Sumatera Selatan,6,2018,419392.16,1317.6
Sumatera Selatan,6,2019,453402.71,1152.5
Sumatera Selatan,6,2020,454607.4,2205.9
Sumatera Selatan,6,2021,493651.91,1571.7
Sumatera Selatan,6,2022,591603.48,1514.3
Bengkulu,7,2013,40565.49015,49.3
Bengkulu,7,2014,45389.90377,36.3
Bengkulu,7,2015,50334.0177,52.6
Bengkulu,7,2016,55384.17203,114.7
Bengkulu,7,2017,60657.67657,188.7
Bengkulu,7,2018,66402.99,175.6
Bengkulu,7,2019,72098.24,212.8
Bengkulu,7,2020,73305.27,294.3
Bengkulu,7,2021,79602.64,144.7
Bengkulu,7,2022,90111.95,109.2
Lampung,8,2013,204402.6387,96.8
Lampung,8,2014,230794.4502,206.5
Lampung,8,2015,252883.1035,318.7
Lampung,8,2016,279417.6172,214.7
Lampung,8,2017,306700.4307,253.6
Lampung,8,2018,332446.07,253.3
Lampung,8,2019,356676.83,313.2
Lampung,8,2020,353025.09,882.4
Lampung,8,2021,371198.88,327.8
Lampung,8,2022,414131.42,462.8
Kepulauan Bangka Belitung,9,2013,50388.36417,162.4
Kepulauan Bangka Belitung,9,2014,56373.6151,139
Kepulauan Bangka Belitung,9,2015,60987.3245,154.7
Kepulauan Bangka Belitung,9,2016,65048.23209,145.7
Kepulauan Bangka Belitung,9,2017,69865.20841,239.1
Kepulauan Bangka Belitung,9,2018,73113.28,125.3
Kepulauan Bangka Belitung,9,2019,75794.96,207.7
Kepulauan Bangka Belitung,9,2020,75519.77,360.4
Kepulauan Bangka Belitung,9,2021,85961.29,188.7
Kepulauan Bangka Belitung,9,2022,95285.43,254.7
Kepulauan Riau,10,2013,163261.5713,470.7
Kepulauan Riau,10,2014,180879.9826,520.1
Kepulauan Riau,10,2015,199570.3945,1234.4
Kepulauan Riau,10,2016,216007.6641,1399.1
Kepulauan Riau,10,2017,227706.877,1843.5
Kepulauan Riau,10,2018,248822.23,1635.3
Kepulauan Riau,10,2019,267631.48,2642.4
Kepulauan Riau,10,2020,254095.35,3792.4
Kepulauan Riau,10,2021,275622.85,2035.7
Kepulauan Riau,10,2022,308842.68,1976
DKI Jakarta,11,2013,1546876.491,5619.1
DKI Jakarta,11,2014,1762316.399,7562.4
DKI Jakarta,11,2015,1989088.748,8082.4
DKI Jakarta,11,2016,2159073.618,10149.2
DKI Jakarta,11,2017,2365353.855,13398
DKI Jakarta,11,2018,2592606.57,11356.7
DKI Jakarta,11,2019,2815636.16,12215
DKI Jakarta,11,2020,2767273.49,20400.3
DKI Jakarta,11,2021,2912563.13,10950.6
DKI Jakarta,11,2022,3186469.91,12686.1
Jawa Barat,12,2013,1258989.329,8666.9
Jawa Barat,12,2014,1385825.076,8233
Jawa Barat,12,2015,1524974.827,10235.7
Jawa Barat,12,2016,1653238.422,10839.9
Jawa Barat,12,2017,1788117.361,10451.9
Jawa Barat,12,2018,1960627.65,10286.5
Jawa Barat,12,2019,2123153.71,11407
Jawa Barat,12,2020,2082107.26,15824.7
Jawa Barat,12,2021,2204660.23,10461.7
Jawa Barat,12,2022,2422782.32,12742.5
Jawa Tengah,13,2013,830016.0164,663.3
Jawa Tengah,13,2014,922471.1811,687.4
Jawa Tengah,13,2015,1010986.637,1458.4
Jawa Tengah,13,2016,1087316.683,2084.8
Jawa Tengah,13,2017,1172794.524,3327.5
Jawa Tengah,13,2018,1268261.17,3173.7
Jawa Tengah,13,2019,1360960.13,3972.2
Jawa Tengah,13,2020,1347222.49,4158.6
Jawa Tengah,13,2021,1419986.62,2758.9
Jawa Tengah,13,2022,1560899.02,3813
DI Yogyakarta,14,2013,84924.54292,91.6
DI Yogyakarta,14,2014,92842.48425,112.9
DI Yogyakarta,14,2015,101440.5184,219.1
DI Yogyakarta,14,2016,109962.3536,271.6
DI Yogyakarta,14,2017,119128.7188,215.5
DI Yogyakarta,14,2018,129818.36,265.3
DI Yogyakarta,14,2019,141047.69,247.6
DI Yogyakarta,14,2020,138117.84,578.7
DI Yogyakarta,14,2021,149408.4,270.8
DI Yogyakarta,14,2022,165690.21,402.9
Jawa Timur,15,2013,1382501.497,4032.3
Jawa Timur,15,2014,1537947.628,2299.5
Jawa Timur,15,2015,1691477.062,3335.4
Jawa Timur,15,2016,1855738.429,3414
Jawa Timur,15,2017,2012917.992,3316.7
Jawa Timur,15,2018,2188766.35,2774.4
Jawa Timur,15,2019,2345548.55,3008.3
Jawa Timur,15,2020,2299807.64,5634.5
Jawa Timur,15,2021,2454716.48,3664.2
Jawa Timur,15,2022,2730907.09,5239
Banten,16,2013,377836.0822,4312.2
Banten,16,2014,428740.0689,2743.6
Banten,16,2015,479300.4437,4279
Banten,16,2016,517898.3436,5073.1
Banten,16,2017,563597.7005,5526.5
Banten,16,2018,613804.41,4722.3
Banten,16,2019,661321.34,4427.2
Banten,16,2020,625895.38,6431.6
Banten,16,2021,665887.47,4129
Banten,16,2022,747250.29,5650.7
Bali,17,2013,134407.5292,1011.9
Bali,17,2014,156395.7322,1009.1
Bali,17,2015,176412.6677,1327.8
Bali,17,2016,194089.5751,1821.6
Bali,17,2017,213035.8553,2315.9
Bali,17,2018,213035.8553,2492.5
Bali,17,2019,251934.1,2869
Bali,17,2020,224225.72,4260.3
Bali,17,2021,220467.45,3250
Bali,17,2022,245233.24,5145.5
Nusa Tenggara Barat,18,2013,73618.88437,740.2
Nusa Tenggara Barat,18,2014,81620.72526,718.1
Nusa Tenggara Barat,18,2015,105664.7425,1072.4
Nusa Tenggara Barat,18,2016,116464.7622,1075
Nusa Tenggara Barat,18,2017,123822.7647,736.1
Nusa Tenggara Barat,18,2018,123868.02,902.6
Nusa Tenggara Barat,18,2019,132500.1,1493.7
Nusa Tenggara Barat,18,2020,133613.74,2078.1
Nusa Tenggara Barat,18,2021,140115.97,1068.2
Nusa Tenggara Barat,18,2022,156944.05,1512.6
